Country,Year,Sex,Age,Population
Canada,2019,Male,0,203741
Canada,2019,Male,1,203741
Canada,2019,Male,2,203741
Canada,2019,Male,3,203741
Canada,2019,Male,4,203741
Canada,2019,Female,0,194116
Canada,2019,Female,1,194116
Canada,2019,Female,2,194116
Canada,2019,Female,3,194116
Canada,2019,Female,4,194116
Canada,2019,Male,5,203517
Canada,2019,Male,6,203517
Canada,2019,Male,7,203517
Canada,2019,Male,8,203517
Canada,2019,Male,9,203517
Canada,2019,Female,5,194415
Canada,2019,Female,6,194415
Canada,2019,Female,7,194415
Canada,2019,Female,8,194415
Canada,2019,Female,9,194415
Canada,2019,Male,10,202322
Canada,2019,Male,11,202322
Canada,2019,Male,12,202322
Canada,2019,Male,13,202322
Canada,2019,Male,14,202322
Canada,2019,Female,10,193153
Canada,2019,Female,11,193153
Canada,2019,Female,12,193153
Canada,2019,Female,13,193153
Canada,2019,Female,14,193153
Canada,2019,Male,15,206473
Canada,2019,Male,16,206473
Canada,2019,Male,17,206473
Canada,2019,Male,18,206473
Canada,2019,Male,19,206473
Canada,2019,Female,15,196651
Canada,2019,Female,16,196651
Canada,2019,Female,17,196651
Canada,2019,Female,18,196651
Canada,2019,Female,19,196651
Canada,2019,Male,20,247415
Canada,2019,Male,21,247415
Canada,2019,Male,22,247415
Canada,2019,Male,23,247415
Canada,2019,Male,24,247415
Canada,2019,Female,20,236348
Canada,2019,Female,21,236348
Canada,2019,Female,22,236348
Canada,2019,Female,23,236348
Canada,2019,Female,24,236348
Canada,2019,Male,25,275627
Canada,2019,Male,26,275627
Canada,2019,Male,27,275627
Canada,2019,Male,28,275627
Canada,2019,Male,29,275627
Canada,2019,Female,25,267553
Canada,2019,Female,26,267553
Canada,2019,Female,27,267553
Canada,2019,Female,28,267553
Canada,2019,Female,29,267553
Canada,2019,Male,30,260543
Canada,2019,Male,31,260543
Canada,2019,Male,32,260543
Canada,2019,Male,33,260543
Canada,2019,Male,34,260543
Canada,2019,Female,30,260522
Canada,2019,Female,31,260522
Canada,2019,Female,32,260522
Canada,2019,Female,33,260522
Canada,2019,Female,34,260522
Canada,2019,Male,35,261349
Canada,2019,Male,36,261349
Canada,2019,Male,37,261349
Canada,2019,Male,38,261349
Canada,2019,Male,39,261349
Canada,2019,Female,35,263526
Canada,2019,Female,36,263526
Canada,2019,Female,37,263526
Canada,2019,Female,38,263526
Canada,2019,Female,39,263526
Canada,2019,Male,40,242191
Canada,2019,Male,41,242191
Canada,2019,Male,42,242191
Canada,2019,Male,43,242191
Canada,2019,Male,44,242191
Canada,2019,Female,40,245059
Canada,2019,Female,41,245059
Canada,2019,Female,42,245059
Canada,2019,Female,43,245059
Canada,2019,Female,44,245059
Canada,2019,Male,45,238319
Canada,2019,Male,46,238319
Canada,2019,Male,47,238319
Canada,2019,Male,48,238319
Canada,2019,Male,49,238319
Canada,2019,Female,45,238539
Canada,2019,Female,46,238539
Canada,2019,Female,47,238539
Canada,2019,Female,48,238539
Canada,2019,Female,49,238539
Canada,2019,Male,50,250580
Canada,2019,Male,51,250580
Canada,2019,Male,52,250580
Canada,2019,Male,53,250580
Canada,2019,Male,54,250580
Canada,2019,Female,50,248698
Canada,2019,Female,51,248698
Canada,2019,Female,52,248698
Canada,2019,Female,53,248698
Canada,2019,Female,54,248698
Canada,2019,Male,55,279118
Canada,2019,Male,56,279118
Canada,2019,Male,57,279118
Canada,2019,Male,58,279118
Canada,2019,Male,59,279118
Canada,2019,Female,55,278627
Canada,2019,Female,56,278627
Canada,2019,Female,57,278627
Canada,2019,Female,58,278627
Canada,2019,Female,59,278627
